jardescription,jvmdescription,memory,cpus_load,cpus_service,concurrency,lat_avg,lat_stdev,lat_max,req_avg,req_stdev,req_max,tot_requests,tot_duration,read,err_connect,err_read,err_write,err_timeout,req_sec_tot,read_tot,user_cpu,kern_cpu,mem_kb_uss,mem_kb_pss,mem_kb_rss,duration
sb_jdbc_17,17,2Gb,2,4,5,0.37142000000000003,0.43582,22.37,5830.0,1080.0,6460.0,696816.0,60000.0,118593945.6,0,0,0,0,11594.3,1971322.88,10047,4507,1621020,1621049,1624132,60
sb_jdbc_17,17,2Gb,2,4,100,8.53,7.78,174.52,6860.0,1370.0,7940.0,818854.0,60000.0,139355750.4,0,0,0,0,13638.71,2317352.96,13747,6067,1669288,1669315,1672404,60
sb_jdbc_17,17,2Gb,4,1,5,1.64,1.88,39.38,744.08,215.14,1300.0,177776.0,60000.0,30251417.6,0,0,0,0,2961.93,504094.72,4939,1064,793548,793584,796504,60
sb_jdbc_17,17,2Gb,4,1,100,105.7,105.72,839.14,295.2,133.63,1010.0,70560.0,60000.0,12006195.2,0,0,0,0,1174.86,199946.24,5560,443,804532,804555,807516,60
sb_jdbc_17,17,2Gb,4,2,5,0.65565,1.3,51.13,1960.0,551.7,2630.0,468713.0,60000.0,79775662.08,0,0,0,0,7810.92,1331691.52,7962,3113,1581192,1581222,1584224,60
sb_jdbc_17,17,2Gb,4,2,100,17.79,22.6,381.62,2140.0,737.51,3120.0,509961.0,60000.0,86790635.52,0,0,0,0,8492.8,1447034.88,8520,3041,1628420,1628449,1631536,60
sb_jdbc_17,17,2Gb,4,4,5,0.39188999999999996,0.55757,25.62,2840.0,528.9,3160.0,677909.0,60000.0,115374817.28,0,0,0,0,11297.96,1918894.08,10455,4372,1652536,1652565,1655652,60
sb_jdbc_17,17,2Gb,4,4,100,8.72,7.86,168.48,3330.0,654.33,4340.0,794822.0,60000.0,135266304.0,0,0,0,0,13237.07,2254438.4,14145,5913,1670484,1670511,1673560,60
sb_jdbc_17,17,100Mb,1,1,1,0.47687999999999997,1.46,39.05,3140.0,960.0,4350.0,187776.0,60000.0,31960596.48,0,0,0,0,3128.71,532480.0,3779,1058,235540,235563,238520,60
sb_jdbc_17,17,100Mb,1,1,5,2.01,2.29,53.88,3160.0,839.68,4390.0,188652.0,60000.0,32107397.12,0,0,0,0,3143.85,535050.24,4920,1079,243864,243892,246876,60
